sampleid,project,Plate_ID,Well_ID,samplename,Demultiplex_ID,Index_set,region,sp_abbrev
PvCF_D1_01_TR1,CorrectionBiasPvDiet,MiFish_1,A1,PvCF_D1_01_TR1,PvCF_D1_01_TR1,A,ControlFeeding,Pv
PvCF_D3_14_TR2,CorrectionBiasPvDiet,MiFish_2,A1,PvCF_D3_14_TR2,PvCF_D3_14_TR2,B,ControlFeeding,Pv
PvCF_D6_10_TR2,CorrectionBiasPvDiet,MiFish_3,A1,PvCF_D6_10_TR2,PvCF_D6_10_TR2,C,ControlFeeding,Pv
TM_01_BrRockfish,CorrectionBiasPvDiet,MiFish_4,A1,TM_01_BrRckFish,TM_01_BrRockfish,D,TissueMix,BrRckFish
PvCF_D1_01_TR1,CorrectionBiasPvDiet,Prey18S_1,A1,PvCF_D1_01_TR1,PvCF_D1_01_TR1,A,ControlFeeding,Pv
PvCF_D3_14_TR2,CorrectionBiasPvDiet,Prey18S_2,A1,PvCF_D3_14_TR2,PvCF_D3_14_TR2,B,ControlFeeding,Pv
PvCF_D6_10_TR2,CorrectionBiasPvDiet,Prey18S_3,A1,PvCF_D6_10_TR2,PvCF_D6_10_TR2,C,ControlFeeding,Pv
PvCF_D3_05_TR1,CorrectionBiasPvDiet,MiFish_1,A10,PvCF_D3_05_TR1,PvCF_D3_05_TR1,A,ControlFeeding,Pv
PvCF_D6_01_TR1,CorrectionBiasPvDiet,MiFish_2,A10,PvCF_D6_01_TR1,PvCF_D6_01_TR1,B,ControlFeeding,Pv
TM_A10,CorrectionBiasPvDiet,MiFish_3,A10,TM_01_NAnch,TM_A10,C,TissueMix,NAnch
TM_03_QuilRockF,CorrectionBiasPvDiet,MiFish_4,A10,TM_03_QuilRock,TM_03_QuilRockF,D,TissueMix,QuilRock
PvCF_D3_05_TR1,CorrectionBiasPvDiet,Prey18S_1,A10,PvCF_D3_05_TR1,PvCF_D3_05_TR1,A,ControlFeeding,Pv
PvCF_D6_01_TR1,CorrectionBiasPvDiet,Prey18S_2,A10,PvCF_D6_01_TR1,PvCF_D6_01_TR1,B,ControlFeeding,Pv
TM_A10,CorrectionBiasPvDiet,Prey18S_3,A10,TM_01_LnoseSkate,TM_A10,C,TissueMix,LnoseSkate
PvCF_D3_08_TR2,CorrectionBiasPvDiet,MiFish_1,A11,PvCF_D3_08_TR2,PvCF_D3_08_TR2,A,ControlFeeding,Pv
PvCF_D6_05_TR1,CorrectionBiasPvDiet,MiFish_2,A11,PvCF_D6_05_TR1,PvCF_D6_05_TR1,B,ControlFeeding,Pv
TM_A11,CorrectionBiasPvDiet,MiFish_3,A11,TM_03_WalPol,TM_A11,C,TissueMix,WalPol
TM_02_BlkEelpt,CorrectionBiasPvDiet,MiFish_4,A11,TM_02_BlkEelpt,TM_02_BlkEelpt,D,TissueMix,BlkEelpt
PvCF_D3_08_TR2,CorrectionBiasPvDiet,Prey18S_1,A11,PvCF_D3_08_TR2,PvCF_D3_08_TR2,A,ControlFeeding,Pv
PvCF_D6_05_TR1,CorrectionBiasPvDiet,Prey18S_2,A11,PvCF_D6_05_TR1,PvCF_D6_05_TR1,B,ControlFeeding,Pv
TM_A11,CorrectionBiasPvDiet,Prey18S_3,A11,TM_01_SqVAQ_03,TM_A11,C,TissueMix,SqVAQ
PvCF_D3_11_TR1,CorrectionBiasPvDiet,MiFish_1,A12,PvCF_D3_11_TR1,PvCF_D3_11_TR1,A,ControlFeeding,Pv
PvCF_D6_07_TR3,CorrectionBiasPvDiet,MiFish_2,A12,PvCF_D6_07_TR3,PvCF_D6_07_TR3,B,ControlFeeding,Pv
TM_A12,CorrectionBiasPvDiet,MiFish_3,A12,TM_01_FltHdSol,TM_A12,C,TissueMix,FltHdSol
TM_01_LfinSmel,CorrectionBiasPvDiet,MiFish_4,A12,TM_01_LfinSmel,TM_01_LfinSmel,D,TissueMix,LfinSmel
PvCF_D3_11_TR1,CorrectionBiasPvDiet,Prey18S_1,A12,PvCF_D3_11_TR1,PvCF_D3_11_TR1,A,ControlFeeding,Pv
PvCF_D6_07_TR3,CorrectionBiasPvDiet,Prey18S_2,A12,PvCF_D6_07_TR3,PvCF_D6_07_TR3,B,ControlFeeding,Pv
TM_A12,CorrectionBiasPvDiet,Prey18S_3,A12,TM_02_MusPolyWorm,TM_A12,C,TissueMix,MusPolyWorm
PvCF_D1_05_TR1,CorrectionBiasPvDiet,MiFish_1,A2,PvCF_D1_05_TR1,PvCF_D1_05_TR1,A,ControlFeeding,Pv
PvCF_D4_02_TR1,CorrectionBiasPvDiet,MiFish_2,A2,PvCF_D4_02_TR1,PvCF_D4_02_TR1,B,ControlFeeding,Pv
