Target_species,MiFish_taxon_assign,Species,Common_name,Sample_ID,start_conc_ng_ul,Even_prop,Even_mass_ng,Even_vol_sample,Even_calc_conc,SK1_prop,SK1_mass_ng,SK1_vol,SK1_calc_conc,SK2_prop,SK2_mass_ng,SK2_vol,SK2_calc_conc
NSpearPoach,Agonopsis vulsa,Agonopsis vulsa,Northern Spearnose Poacher,01_NorSpPoach,0.343,0.0132,10,29.15,0.02556655093,,,,0,,,,
AmShad,Alosa sapidissima,Alosa sapidissima,American shad,01_AmShad_B,5.03,0.0132,10,1.99,0.02556655093,0.012,6,1.19,0.0346450242,0.05,25,4.97,0.1443542675
PacSanLan,Ammodytes personatus,Ammodytes personatus,Pacific sandlance,01_PacSand,2.81,0.0132,10,3.56,0.02556655093,,,,0,0.032,16,5.69,0.09238673121
Cockscomb,Anoplarchus,Anoplarchus purpurescens,High Cockscomb,11_HCcomb,1.42,0.0132,10,7.04,0.02556655093,0.012,6,4.23,0.0346450242,,,,0
SpotBarr,Arctozenus risso,Arctozenus risso,Spotted barracudina,01_SpotBarr_B,2.35,0.0132,10,4.26,0.02556655093,,,,0,0.012,6,2.55,0.0346450242
PadSculp,Artedius fenestralis,Artedius fenestralis,Padded sculpin,PadSculp_02,3.55,0.0132,10,2.82,0.02556655093,0.012,6,1.69,0.0346450242,,,,0
SmoothSculp,Artedius lateralis,Artedius lateralis,Smoothhead sculpin,01_SmoothSculp_B,4.02,0.0132,10,2.49,0.02556655093,,,,0,0.012,6,1.49,0.0346450242
Tsnout,Aulorhynchus flavidus,Aulorhynchus flavidus,Tubesnout,01_Tsnout_B,5.21,0.0132,10,1.92,0.02556655093,,,,0,0.012,6,1.15,0.0346450242
LnoseSkate,Beringraja rhina,Beringraja rhina,Longnose skate,01_LnoseSkate_B,4.01,0.0132,10,2.49,0.02556655093,0.05,25,6.23,0.1443542675,,,,0
RBratula,Brosmophycis marginata,Brosmophycis marginata,Red brotula,01_RBratula_B,4.13,0.0132,10,2.42,0.02556655093,,,,0,0.012,6,1.45,0.0346450242
DecWarb,Chirolophis,Chirolophis decoratus,Decorated warbonnet,01_DecWarb_B,5.96,0.0132,10,1.68,0.02556655093,0.012,6,1.01,0.0346450242,,,,0
RoughSculp,Chitonotus pugetensis,Chitonotus pugetensis,Roughback sculpin,01_RoughSculp,3.12,0.0132,10,3.21,0.02556655093,,,,0,0.012,6,1.92,0.0346450242
PacSanddab,Citharichthys sordidus,Citharichthys sordidus,Pacific sanddab,02_PacSanddab,5.19,0.0132,10,1.93,0.02556655093,0.012,6,1.16,0.0346450242,,,,0
SpecSdab,Citharichthys stigmaeus,Citharichthys stigmaeus,Speckled sanddab,01_SpecsDab,3.23,0.0132,10,3.1,0.02556655093,,,,0,0.012,6,1.86,0.0346450242
ArrGob,Clevelandia ios,Clevelandia ios,Arrow goby,01_ArrGob_B,4.29,0.0132,10,2.33,0.02556655093,,,,0,,,,0
PacHer,Clupea pallasii,Clupea pallasii,Pacific herring,14_PacHer,4.52,0.0132,10,2.21,0.02556655093,0.05,25,5.53,0.1443542675,0.012,6,1.33,0.0346450242
