"SampleID","samplename","model_out_name","time","creek","station","station_num","biol","tech","diet_sp","P18S_taxon_assign","Species","expected_prop","has_multiple_seals","seal_1","seal_2","seal_1_actual_mass","seal_2_actual_mass","seal_1_total_mass","seal_2_total_mass","seal_1_actual_prop","seal_2_actual_prop"
"PvCF_D1_01","PvCF_D1_01_TR1","1_PvCF_1_1",1,"PvCF","D1",1,1,1,"capelin","Actinopteri","Mallotus villosus",0.2,FALSE,"DaVinci",NA,0.63,NA,3.21,NA,0.196261682242991,NA
"PvCF_D1_01","PvCF_D1_01_TR2","1_PvCF_1_1",1,"PvCF","D1",1,1,2,"capelin","Actinopteri","Mallotus villosus",0.2,FALSE,"DaVinci",NA,0.63,NA,3.21,NA,0.196261682242991,NA
"PvCF_D1_01","PvCF_D1_01_TR3","1_PvCF_1_1",1,"PvCF","D1",1,1,3,"capelin","Actinopteri","Mallotus villosus",0.2,FALSE,"DaVinci",NA,0.63,NA,3.21,NA,0.196261682242991,NA
"PvCF_D1_01","PvCF_D1_01_TR1","1_PvCF_1_1",1,"PvCF","D1",1,1,1,"hake","Actinopteri","Merluccius productus",0,FALSE,"DaVinci",NA,0,NA,3.21,NA,0,NA
"PvCF_D1_01","PvCF_D1_01_TR2","1_PvCF_1_1",1,"PvCF","D1",1,1,2,"hake","Actinopteri","Merluccius productus",0,FALSE,"DaVinci",NA,0,NA,3.21,NA,0,NA
"PvCF_D1_01","PvCF_D1_01_TR3","1_PvCF_1_1",1,"PvCF","D1",1,1,3,"hake","Actinopteri","Merluccius productus",0,FALSE,"DaVinci",NA,0,NA,3.21,NA,0,NA
"PvCF_D1_01","PvCF_D1_01_TR1","1_PvCF_1_1",1,"PvCF","D1",1,1,1,"herring","Actinopteri","Clupea pallasii",0.6,FALSE,"DaVinci",NA,1.92,NA,3.21,NA,0.598130841121495,NA
"PvCF_D1_01","PvCF_D1_01_TR2","1_PvCF_1_1",1,"PvCF","D1",1,1,2,"herring","Actinopteri","Clupea pallasii",0.6,FALSE,"DaVinci",NA,1.92,NA,3.21,NA,0.598130841121495,NA
"PvCF_D1_01","PvCF_D1_01_TR3","1_PvCF_1_1",1,"PvCF","D1",1,1,3,"herring","Actinopteri","Clupea pallasii",0.6,FALSE,"DaVinci",NA,1.92,NA,3.21,NA,0.598130841121495,NA
"PvCF_D1_01","PvCF_D1_01_TR1","1_PvCF_1_1",1,"PvCF","D1",1,1,1,"prawn","Penaeus monodon","Penaeus monodon",0,FALSE,"DaVinci",NA,0,NA,3.21,NA,0,NA
"PvCF_D1_01","PvCF_D1_01_TR2","1_PvCF_1_1",1,"PvCF","D1",1,1,2,"prawn","Penaeus monodon","Penaeus monodon",0,FALSE,"DaVinci",NA,0,NA,3.21,NA,0,NA
"PvCF_D1_01","PvCF_D1_01_TR3","1_PvCF_1_1",1,"PvCF","D1",1,1,3,"prawn","Penaeus monodon","Penaeus monodon",0,FALSE,"DaVinci",NA,0,NA,3.21,NA,0,NA
"PvCF_D1_01","PvCF_D1_01_TR1","1_PvCF_1_1",1,"PvCF","D1",1,1,1,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,FALSE,"DaVinci",NA,0.33,NA,3.21,NA,0.102803738317757,NA
"PvCF_D1_01","PvCF_D1_01_TR2","1_PvCF_1_1",1,"PvCF","D1",1,1,2,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,FALSE,"DaVinci",NA,0.33,NA,3.21,NA,0.102803738317757,NA
"PvCF_D1_01","PvCF_D1_01_TR3","1_PvCF_1_1",1,"PvCF","D1",1,1,3,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,FALSE,"DaVinci",NA,0.33,NA,3.21,NA,0.102803738317757,NA
"PvCF_D1_01","PvCF_D1_01_TR1","1_PvCF_1_1",1,"PvCF","D1",1,1,1,"squid","Cephalopoda","Doryteuthis opalescens",0.1,FALSE,"DaVinci",NA,0.33,NA,3.21,NA,0.102803738317757,NA
"PvCF_D1_01","PvCF_D1_01_TR2","1_PvCF_1_1",1,"PvCF","D1",1,1,2,"squid","Cephalopoda","Doryteuthis opalescens",0.1,FALSE,"DaVinci",NA,0.33,NA,3.21,NA,0.102803738317757,NA
