"SampleID","samplename","model_out_name","time","creek","station","station_num","biol","tech","diet_sp","P18S_taxon_assign","species_list","seal_1_actual_mass","seal_2_actual_mass","seal_1_total_mass","seal_2_total_mass","seal_1_actual_prop","seal_2_actual_prop","expected_prop","has_multiple_seals"
"PvCF_D1_01","PvCF_D1_01_TR1","1_PvCF_1_1",1,"PvCF","D1",1,1,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,0,3.21,NA,0.897196261682243,NA,0.9,FALSE
"PvCF_D1_01","PvCF_D1_01_TR1","1_PvCF_1_1",1,"PvCF","D1",1,1,1,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0,3.21,NA,0.102803738317757,NA,0.1,FALSE
"PvCF_D1_01","PvCF_D1_01_TR1","1_PvCF_1_1",1,"PvCF","D1",1,1,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,NA,0,NA,0,FALSE
"PvCF_D1_01","PvCF_D1_01_TR2","1_PvCF_1_1",1,"PvCF","D1",1,1,2,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,0,3.21,NA,0.897196261682243,NA,0.9,FALSE
"PvCF_D1_01","PvCF_D1_01_TR2","1_PvCF_1_1",1,"PvCF","D1",1,1,2,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0,3.21,NA,0.102803738317757,NA,0.1,FALSE
"PvCF_D1_01","PvCF_D1_01_TR2","1_PvCF_1_1",1,"PvCF","D1",1,1,2,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,NA,0,NA,0,FALSE
"PvCF_D1_01","PvCF_D1_01_TR3","1_PvCF_1_1",1,"PvCF","D1",1,1,3,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,0,3.21,NA,0.897196261682243,NA,0.9,FALSE
"PvCF_D1_01","PvCF_D1_01_TR3","1_PvCF_1_1",1,"PvCF","D1",1,1,3,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0,3.21,NA,0.102803738317757,NA,0.1,FALSE
"PvCF_D1_01","PvCF_D1_01_TR3","1_PvCF_1_1",1,"PvCF","D1",1,1,3,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,NA,0,NA,0,FALSE
"PvCF_D1_02","PvCF_D1_02_TR1","1_PvCF_1_2",1,"PvCF","D1",1,2,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,4.95,3.21,5.49,0.897196261682243,0.901639344262295,0.9,TRUE
"PvCF_D1_02","PvCF_D1_02_TR1","1_PvCF_1_2",1,"PvCF","D1",1,2,1,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0.54,3.21,5.49,0.102803738317757,0.0983606557377049,0.1,TRUE
"PvCF_D1_02","PvCF_D1_02_TR1","1_PvCF_1_2",1,"PvCF","D1",1,2,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,5.49,0,0,0,TRUE
"PvCF_D1_02","PvCF_D1_02_TR2","1_PvCF_1_2",1,"PvCF","D1",1,2,2,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,4.95,3.21,5.49,0.897196261682243,0.901639344262295,0.9,TRUE
"PvCF_D1_02","PvCF_D1_02_TR2","1_PvCF_1_2",1,"PvCF","D1",1,2,2,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0.54,3.21,5.49,0.102803738317757,0.0983606557377049,0.1,TRUE
"PvCF_D1_02","PvCF_D1_02_TR2","1_PvCF_1_2",1,"PvCF","D1",1,2,2,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,5.49,0,0,0,TRUE
"PvCF_D1_02","PvCF_D1_02_TR3","1_PvCF_1_2",1,"PvCF","D1",1,2,3,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,4.95,3.21,5.49,0.897196261682243,0.901639344262295,0.9,TRUE
"PvCF_D1_02","PvCF_D1_02_TR3","1_PvCF_1_2",1,"PvCF","D1",1,2,3,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0.54,3.21,5.49,0.102803738317757,0.0983606557377049,0.1,TRUE
"PvCF_D1_02","PvCF_D1_02_TR3","1_PvCF_1_2",1,"PvCF","D1",1,2,3,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,5.49,0,0,0,TRUE
"PvCF_D1_03","PvCF_D1_03_TR1","1_PvCF_1_3",1,"PvCF","D1",1,3,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,0,3.21,0,0.897196261682243,NA,0.9,TRUE
