diet,date,seal_id,diet_sp,expected_prop,actual_mass,total_mass
D1,20240501,DaVinci,herring,0.6,1.92,3.21
D1,20240501,DaVinci,capelin,0.2,0.63,3.21
D1,20240501,DaVinci,salmon_1,0.1,0.33,3.21
D1,20240501,DaVinci,squid,0.1,0.33,3.21
D1,20240501,DaVinci,prawn,0,0,3.21
D1,20240501,DaVinci,hake,0,0,3.21
D1,20240501,Donnelly,herring,0.6,0,0
D1,20240501,Donnelly,capelin,0.2,0,0
D1,20240501,Donnelly,salmon_1,0.1,0,0
D1,20240501,Donnelly,squid,0.1,0,0
D1,20240501,Donnelly,prawn,0,0,0
D1,20240501,Donnelly,hake,0,0,0
D1,20240502,DaVinci,herring,0.6,1.92,3.21
D1,20240502,DaVinci,capelin,0.2,0.63,3.21
D1,20240502,DaVinci,salmon_1,0.1,0.33,3.21
D1,20240502,DaVinci,squid,0.1,0.33,3.21
D1,20240502,DaVinci,prawn,0,0,3.21
D1,20240502,DaVinci,hake,0,0,3.21
D1,20240502,Donnelly,herring,0.6,1.92,2.93
D1,20240502,Donnelly,capelin,0.2,0.64,2.93
D1,20240502,Donnelly,salmon_1,0.1,0.05,2.93
D1,20240502,Donnelly,squid,0.1,0.32,2.93
D1,20240502,Donnelly,prawn,0,0,2.93
D1,20240502,Donnelly,hake,0,0,2.93
D1,20240503,DaVinci,herring,0.6,2.1,3.52
D1,20240503,DaVinci,capelin,0.2,0.7,3.52
D1,20240503,DaVinci,salmon_1,0.1,0.36,3.52
D1,20240503,DaVinci,squid,0.1,0.36,3.52
D1,20240503,DaVinci,prawn,0,0,3.52
D1,20240503,DaVinci,hake,0,0,3.52
D1,20240503,Donnelly,herring,0.6,1.8,3.34
D1,20240503,Donnelly,capelin,0.2,0.9,3.34
D1,20240503,Donnelly,salmon_1,0.1,0.37,3.34
D1,20240503,Donnelly,squid,0.1,0.27,3.34
D1,20240503,Donnelly,prawn,0,0,3.34
D1,20240503,Donnelly,hake,0,0,3.34
D1,20240504,DaVinci,herring,0.6,2.1,3.52
D1,20240504,DaVinci,capelin,0.2,0.7,3.52
D1,20240504,DaVinci,salmon_1,0.1,0.36,3.52
D1,20240504,DaVinci,squid,0.1,0.36,3.52
D1,20240504,DaVinci,prawn,0,0,3.52
D1,20240504,DaVinci,hake,0,0,3.52
D1,20240504,Donnelly,herring,0.6,2.1,3.52
D1,20240504,Donnelly,capelin,0.2,0.7,3.52
D1,20240504,Donnelly,salmon_1,0.1,0.36,3.52
D1,20240504,Donnelly,squid,0.1,0.36,3.52
D1,20240504,Donnelly,prawn,0,0,3.52
D1,20240504,Donnelly,hake,0,0,3.52
D1,20240505,DaVinci,herring,0.6,2.1,3.52
D1,20240505,DaVinci,capelin,0.2,0.7,3.52
D1,20240505,DaVinci,salmon_1,0.1,0.36,3.52
D1,20240505,DaVinci,squid,0.1,0.36,3.52
D1,20240505,DaVinci,prawn,0,0,3.52
D1,20240505,DaVinci,hake,0,0,3.52
D1,20240505,Donnelly,herring,0.6,2.1,3.52
D1,20240505,Donnelly,capelin,0.2,0.7,3.52
D1,20240505,Donnelly,salmon_1,0.1,0.36,3.52
D1,20240505,Donnelly,squid,0.1,0.36,3.52
D1,20240505,Donnelly,prawn,0,0,3.52
D1,20240505,Donnelly,hake,0,0,3.52
D1,20240506,DaVinci,herring,0.6,2.1,3.52
D1,20240506,DaVinci,capelin,0.2,0.7,3.52
D1,20240506,DaVinci,salmon_1,0.1,0.36,3.52
D1,20240506,DaVinci,squid,0.1,0.36,3.52
D1,20240506,DaVinci,prawn,0,0,3.52
D1,20240506,DaVinci,hake,0,0,3.52
D1,20240506,Donnelly,herring,0.6,2.1,3.52
D1,20240506,Donnelly,capelin,0.2,0.7,3.52
D1,20240506,Donnelly,salmon_1,0.1,0.36,3.52
D1,20240506,Donnelly,squid,0.1,0.36,3.52
D1,20240506,Donnelly,prawn,0,0,3.52
D1,20240506,Donnelly,hake,0,0,3.52
D1,20240507,DaVinci,herring,0.6,2.1,3.52
D1,20240507,DaVinci,capelin,0.2,0.7,3.52
D1,20240507,DaVinci,salmon_1,0.1,0.36,3.52
D1,20240507,DaVinci,squid,0.1,0.36,3.52
