"SampleID","date","Time","seal_id","Scat_details","diet_sp","expected_prop","actual_mass","total_mass","actual_prop","Species","MiFish_taxon_assign","18S_taxon_assign","samplename","time","creek","biol","tech","station","station_num","model_out_name"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","capelin",0.2,0.63,3.21,0.196261682242991,"Mallotus villosus","Mallotus villosus","Actinopteri","PvCF_D1_01_TR1",1,"PvCF",1,1,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","capelin",0.2,0.63,3.21,0.196261682242991,"Mallotus villosus","Mallotus villosus","Actinopteri","PvCF_D1_01_TR2",1,"PvCF",1,2,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","capelin",0.2,0.63,3.21,0.196261682242991,"Mallotus villosus","Mallotus villosus","Actinopteri","PvCF_D1_01_TR3",1,"PvCF",1,3,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","hake",0,0,3.21,0,"Merluccius productus","Merluccius productus","Actinopteri","PvCF_D1_01_TR1",1,"PvCF",1,1,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","hake",0,0,3.21,0,"Merluccius productus","Merluccius productus","Actinopteri","PvCF_D1_01_TR2",1,"PvCF",1,2,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","hake",0,0,3.21,0,"Merluccius productus","Merluccius productus","Actinopteri","PvCF_D1_01_TR3",1,"PvCF",1,3,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","herring",0.6,1.92,3.21,0.598130841121495,"Clupea pallasii","Clupea pallasii","Actinopteri","PvCF_D1_01_TR1",1,"PvCF",1,1,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","herring",0.6,1.92,3.21,0.598130841121495,"Clupea pallasii","Clupea pallasii","Actinopteri","PvCF_D1_01_TR2",1,"PvCF",1,2,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","herring",0.6,1.92,3.21,0.598130841121495,"Clupea pallasii","Clupea pallasii","Actinopteri","PvCF_D1_01_TR3",1,"PvCF",1,3,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","prawn",0,0,3.21,0,"Penaeus monodon",NA,"Penaeus monodon","PvCF_D1_01_TR1",1,"PvCF",1,1,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","prawn",0,0,3.21,0,"Penaeus monodon",NA,"Penaeus monodon","PvCF_D1_01_TR2",1,"PvCF",1,2,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","prawn",0,0,3.21,0,"Penaeus monodon",NA,"Penaeus monodon","PvCF_D1_01_TR3",1,"PvCF",1,3,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","salmon_1",0.1,0.33,3.21,0.102803738317757,"Oncorhynchus kisutch","Oncorhynchus kisutch","Actinopteri","PvCF_D1_01_TR1",1,"PvCF",1,1,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","salmon_1",0.1,0.33,3.21,0.102803738317757,"Oncorhynchus kisutch","Oncorhynchus kisutch","Actinopteri","PvCF_D1_01_TR2",1,"PvCF",1,2,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","salmon_1",0.1,0.33,3.21,0.102803738317757,"Oncorhynchus kisutch","Oncorhynchus kisutch","Actinopteri","PvCF_D1_01_TR3",1,"PvCF",1,3,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","squid",0.1,0.33,3.21,0.102803738317757,"Doryteuthis opalescens",NA,"Cephalopoda","PvCF_D1_01_TR1",1,"PvCF",1,1,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","squid",0.1,0.33,3.21,0.102803738317757,"Doryteuthis opalescens",NA,"Cephalopoda","PvCF_D1_01_TR2",1,"PvCF",1,2,"D1",1,"1_PvCF_1_1"
"PvCF_D1_01",20240501,"10:30","DaVinci","Deck","squid",0.1,0.33,3.21,0.102803738317757,"Doryteuthis opalescens",NA,"Cephalopoda","PvCF_D1_01_TR3",1,"PvCF",1,3,"D1",1,"1_PvCF_1_1"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","capelin",0.2,0.63,3.21,0.196261682242991,"Mallotus villosus","Mallotus villosus","Actinopteri","PvCF_D1_02_TR1",1,"PvCF",2,1,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","capelin",0.2,0.63,3.21,0.196261682242991,"Mallotus villosus","Mallotus villosus","Actinopteri","PvCF_D1_02_TR2",1,"PvCF",2,2,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","capelin",0.2,0.63,3.21,0.196261682242991,"Mallotus villosus","Mallotus villosus","Actinopteri","PvCF_D1_02_TR3",1,"PvCF",2,3,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","hake",0,0,3.21,0,"Merluccius productus","Merluccius productus","Actinopteri","PvCF_D1_02_TR1",1,"PvCF",2,1,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","hake",0,0,3.21,0,"Merluccius productus","Merluccius productus","Actinopteri","PvCF_D1_02_TR2",1,"PvCF",2,2,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","hake",0,0,3.21,0,"Merluccius productus","Merluccius productus","Actinopteri","PvCF_D1_02_TR3",1,"PvCF",2,3,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","herring",0.6,1.92,3.21,0.598130841121495,"Clupea pallasii","Clupea pallasii","Actinopteri","PvCF_D1_02_TR1",1,"PvCF",2,1,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","herring",0.6,1.92,3.21,0.598130841121495,"Clupea pallasii","Clupea pallasii","Actinopteri","PvCF_D1_02_TR2",1,"PvCF",2,2,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","herring",0.6,1.92,3.21,0.598130841121495,"Clupea pallasii","Clupea pallasii","Actinopteri","PvCF_D1_02_TR3",1,"PvCF",2,3,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","prawn",0,0,3.21,0,"Penaeus monodon",NA,"Penaeus monodon","PvCF_D1_02_TR1",1,"PvCF",2,1,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","prawn",0,0,3.21,0,"Penaeus monodon",NA,"Penaeus monodon","PvCF_D1_02_TR2",1,"PvCF",2,2,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","prawn",0,0,3.21,0,"Penaeus monodon",NA,"Penaeus monodon","PvCF_D1_02_TR3",1,"PvCF",2,3,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","salmon_1",0.1,0.33,3.21,0.102803738317757,"Oncorhynchus kisutch","Oncorhynchus kisutch","Actinopteri","PvCF_D1_02_TR1",1,"PvCF",2,1,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","salmon_1",0.1,0.33,3.21,0.102803738317757,"Oncorhynchus kisutch","Oncorhynchus kisutch","Actinopteri","PvCF_D1_02_TR2",1,"PvCF",2,2,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","salmon_1",0.1,0.33,3.21,0.102803738317757,"Oncorhynchus kisutch","Oncorhynchus kisutch","Actinopteri","PvCF_D1_02_TR3",1,"PvCF",2,3,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","squid",0.1,0.33,3.21,0.102803738317757,"Doryteuthis opalescens",NA,"Cephalopoda","PvCF_D1_02_TR1",1,"PvCF",2,1,"D1",1,"1_PvCF_1_2"
"PvCF_D1_02",20240501,"12:30","DaVinci","Bottom_Pool","squid",0.1,0.33,3.21,0.102803738317757,"Doryteuthis opalescens",NA,"Cephalopoda","PvCF_D1_02_TR2",1,"PvCF",2,2,"D1",1,"1_PvCF_1_2"
