SampleID,Date,Time,Diet,Seal_ID_1,Seal_ID_2,Scat_details,Tech_rep,PCR_ID
PvCF_D1_01,20240501,10:30,1,DaVinci,,Deck,1,PvCF_D1_01_TR1
PvCF_D1_01,20240501,10:30,1,DaVinci,,Deck,2,PvCF_D1_01_TR2
PvCF_D1_01,20240501,10:30,1,DaVinci,,Deck,3,PvCF_D1_01_TR3
PvCF_D1_02,20240501,12:30,1,DaVinci,Donnelly,Bottom_Pool,1,PvCF_D1_02_TR1
PvCF_D1_02,20240501,12:30,1,DaVinci,Donnelly,Bottom_Pool,2,PvCF_D1_02_TR2
PvCF_D1_02,20240501,12:30,1,DaVinci,Donnelly,Bottom_Pool,3,PvCF_D1_02_TR3
PvCF_D1_03,20240502,10:00,1,Donnelly,DaVinci,small slimy yellow,1,PvCF_D1_03_TR1
PvCF_D1_03,20240502,10:00,1,Donnelly,DaVinci,small slimy yellow,2,PvCF_D1_03_TR2
PvCF_D1_03,20240502,10:00,1,Donnelly,DaVinci,small slimy yellow,3,PvCF_D1_03_TR3
PvCF_D1_04,20240502,15:50,1,DaVinci,Donnelly,Deck,1,PvCF_D1_04_TR1
PvCF_D1_04,20240502,15:50,1,DaVinci,Donnelly,Deck,2,PvCF_D1_04_TR2
PvCF_D1_04,20240502,15:50,1,DaVinci,Donnelly,Deck,3,PvCF_D1_04_TR3
PvCF_D1_05,20240503,12:40,1,DaVinci,Donnelly,Pool,1,PvCF_D1_05_TR1
PvCF_D1_05,20240503,12:40,1,DaVinci,Donnelly,Pool,2,PvCF_D1_05_TR2
PvCF_D1_05,20240503,12:40,1,DaVinci,Donnelly,Pool,3,PvCF_D1_05_TR3
PvCF_D1_06,20240503,15:03,1,DaVinci,Donnelly,Pool,1,PvCF_D1_06_TR1
PvCF_D1_06,20240503,15:03,1,DaVinci,Donnelly,Pool,2,PvCF_D1_06_TR2
PvCF_D1_06,20240503,15:03,1,DaVinci,Donnelly,Pool,3,PvCF_D1_06_TR3
PvCF_D1_07,20240504,9:27,1,DaVinci,Donnelly,Pool,1,PvCF_D1_07_TR1
PvCF_D1_07,20240504,9:27,1,DaVinci,Donnelly,Pool,2,PvCF_D1_07_TR2
