"day","month","year","Collection_Location","Sample_ID","sampleid"
"21","Mar","2016","Woodard Bay","Pv16-001","Pv16-001"
"21","Mar","2016","Woodard Bay","Pv16-002","Pv16-002"
"21","Mar","2016","Woodard Bay","Pv16-003","Pv16-003"
"21","Mar","2016","Woodard Bay","Pv16-004","Pv16-004"
"21","Mar","2016","Woodard Bay","Pv16-005","Pv16-005"
"21","Mar","2016","Eagle Island","Pv16-006","Pv16-006"
"21","Mar","2016","Eagle Island","Pv16-007","Pv16-007"
"21","Mar","2016","Still Harbor","Pv16-008","Pv16-008"
"21","Mar","2016","Still Harbor","Pv16-009","Pv16-009"
"18","Mar","2016","Eagle Island","Pv16-010","Pv16-010"
"18","Mar","2016","Eagle Island","Pv16-011","Pv16-011"
"18","Mar","2016","Eagle Island","Pv16-012","Pv16-012"
"18","Mar","2016","Still Harbor","Pv16-013","Pv16-013"
"18","Mar","2016","Cutts Island","Pv16-014","Pv16-014"
"18","Mar","2016","Cutts Island","Pv16-015","Pv16-015"
"18","Mar","2016","Cutts Island","Pv16-016","Pv16-016"
"18","Mar","2016","Woodard Bay","Pv16-017","Pv16-017"
"18","Mar","2016","Woodard Bay","Pv16-018","Pv16-018"
"18","Mar","2016","Woodard Bay","Pv16-019","Pv16-019"
"18","Mar","2016","Woodard Bay","Pv16-020","Pv16-020"
"18","Mar","2016","Woodard Bay","Pv16-021","Pv16-021"
"18","Mar","2016","Woodard Bay","Pv16-022","Pv16-022"
"18","Mar","2016","Woodard Bay","Pv16-023","Pv16-023"
"18","Mar","2016","Woodard Bay","Pv16-024","Pv16-024"
"18","Mar","2016","Woodard Bay","Pv16-025","Pv16-025"
"18","Mar","2016","Woodard Bay","Pv16-026","Pv16-026"
"18","Mar","2016","Woodard Bay","Pv16-027","Pv16-027"
"18","Mar","2016","Woodard Bay","Pv16-028","Pv16-028"
"18","Mar","2016","Woodard Bay","Pv16-029","Pv16-029"
"18","Mar","2016","Woodard Bay","Pv16-030","Pv16-030"
"5","Feb","2016","Eagle Island","Pv16-031","Pv16-031"
"5","Feb","2016","Eagle Island","Pv16-032","Pv16-032"
"5","Feb","2016","Eagle Island","Pv16-033","Pv16-033"
"5","Feb","2016","Eagle Island","Pv16-034","Pv16-034"
"5","Feb","2016","Eagle Island","Pv16-035","Pv16-035"
"5","Feb","2016","Eagle Island","Pv16-036","Pv16-036"
"5","Feb","2016","Eagle Island","Pv16-037","Pv16-037"
"5","Feb","2016","Eagle Island","Pv16-038","Pv16-038"
"5","Feb","2016","Eagle Island","Pv16-039","Pv16-039"
"5","Feb","2016","Eagle Island","Pv16-040","Pv16-040"
"5","Feb","2016","Eagle Island","Pv16-041","Pv16-041"
"5","Feb","2016","Eagle Island","Pv16-042","Pv16-042"
"5","Feb","2016","Eagle Island","Pv16-043","Pv16-043"
"5","Feb","2016","Eagle Island","Pv16-044","Pv16-044"
"5","Feb","2016","Eagle Island","Pv16-045","Pv16-045"
"5","Feb","2016","Eagle Island","Pv16-046","Pv16-046"
"5","Feb","2016","Eagle Island","Pv16-047","Pv16-047"
"5","Feb","2016","Eagle Island","Pv16-048","Pv16-048"
"5","Feb","2016","Eagle Island","Pv16-049","Pv16-049"
"5","Feb","2016","Eagle Island","Pv16-050","Pv16-050"
"5","Feb","2016","Eagle Island","Pv16-051","Pv16-051"
"5","Feb","2016","Woodard Bay","Pv16-052","Pv16-052"
"5","Feb","2016","Woodard Bay","Pv16-053","Pv16-053"
"5","Feb","2016","Woodard Bay","Pv16-054","Pv16-054"
"5","Feb","2016","Woodard Bay","Pv16-055","Pv16-055"
"5","Feb","2016","Woodard Bay","Pv16-056","Pv16-056"
"5","Feb","2016","Woodard Bay","Pv16-057","Pv16-057"
"5","Feb","2016","Woodard Bay","Pv16-058","Pv16-058"
"5","Feb","2016","Woodard Bay","Pv16-059","Pv16-059"
