Species,Common_name,sp_abbrev,MiFish,In_Mish_DB,18S_repfish,18S_16S_everything,allfish-mam-comb,extract_ID_1,qubit_1,extract_ID_2,qubit_2,extract_3,qubit_3,Dilute to 5 ng/ul,dilute to 50 ul,FINAL_post_dil_conc,qubit_0507,dil_to 2ng,dil_to50ul,final_dil_conc,qubit_0508,notes
Agonopsis vulsa,Northern Spearnose Poacher,NSpearPoach,Y,Y,N,Y,Y,01_NorSpPoach,0.363,,,,,,,0.343,,,,,,
Alosa sapidissima,American shad,AmShad,Y,Y,N,Y,Y,01_AmShad_B,14.5,,,,,17.9,32.1,5.03,,,,,5.72,
Ammodytes personatus,Pacific sandlance,PacSanLan,Y,Y,N,Y,Y,01_PacSand,2.75,01_PSandLan,0.757,,,,,2.81,,,,,2.63,
Anoplarchus purpurescens,High Cockscomb,Cockscomb,Y,GENUS,N,Y,Y,11_HCcomb,1.27,,,,,,,1.42,,,,,1.53,
Arctozenus risso,Spotted barracudina,SpotBarr,Y,Y,N,Y,Y,01_SpotBarr_B,2.35,,,,,,,2.35,,,,,3.36,
Artedius fenestralis,Padded sculpin,PadSculp,Y,Y,N,Y,Y,PadSculp_02,9.61,,,,,27.1,22.9,3.55,,,,,4.3,
Artedius fenestralis,Padded sculpin,PadSculp,Y,Y,N,Y,Y,01_ScalSculp_01,0.292,,,,,,,0.266,,,,,0.25,
Artedius lateralis,Smoothhead sculpin,SmoothSculp,Y,Y,N,Y,Y,01_SmoothSculp_B,17.4,,,,,14.9,35.1,4.02,,,,,4.28,
Aulorhynchus flavidus,Tubesnout,Tsnout,Y,Y,N,Y,Y,01_Tsnout_B,5.66,,,,,,,5.21,,,,,6.13,
Beringraja rhina,Longnose skate,LnoseSkate,Y,Y,N,Y,Y,01_LnoseSkate_B,18.1,,,,,14.4,35.6,4.01,,,,,4.49,
Berryteuthis magister,Magister armhook squid,MgArmSq,N,N,Y,Y,Y,03_MgArmSq,0.317,,0.061,01_MgArmSq,BLOQ,,,,0.317,,,,,
Brosmophycis marginata,Red brotula,RBratula,Y,Y,N,Y,Y,01_RBratula_B,30.2,,,,,8.6,41.4,4.13,,,,,4.12,
Chirolophis decoratus,Decorated warbonnet,DecWarb,Y,GENUS,N,Y,Y,01_DecWarb_B,55,,,,,4.7,45.3,5.96,,,,,7.74,
Chitonotus pugetensis,Roughback sculpin,RoughSculp,Y,Y,N,Y,Y,01_RoughSculp,30.8,,,,,8.4,41.6,3.12,,,,,3.27,
