Species,Common_name,Target_species,MiFish_taxon_assign,18S_taxon_assign,diet_sp
Gasterosteus aculeatus,Three-spined stickleback,3SpinStick,Gasterosteus aculeatus,Actinopteri,
Alosa sapidissima,American shad,AmShad,Alosa sapidissima,Actinopteri,
Clevelandia ios,Arrow goby,ArrGob,Clevelandia ios,Actinopteri,
Salmo salar,Atlantic salmon,AtlSal,Salmo salar,Actinopteri,
Lepidogobius lepidus,Bay goby,BayGob,Lepidogobius lepidus,Actinopteri,
Syngnathus leptorhynchus,bay pipe fish,BayPip,Syngnathus leptorhynchus,Actinopteri,
Crangon spp.,Bay shrimp,BayShr,,Crangon,
Lycodes pacificus,Blackbelly eelpout,BlkEelpt,Lycodes,Actinopteri,
Sebastes melanops,Black rockfish,BlkRock,Sebastes,Actinopteri,
Penaeus monodon,Black-Tiger Shrimp,BlkTigShrVAQ,,Penaeus monodon,prawn
Sebastes auriculatus,Brown Rockfish,BrRckFish,Sebastes,Actinopteri,
Raja binoculata,Big skate,BSkate,Raja binoculata,Rajidae,
Enophrys bison,Buffalo sculpin,BufSculp,Enophrys bison,Actinopteri,
Isopsetta isolepis,Butter sole,ButtSol,Pleuronectidae,Actinopteri,
Diaphus theta,California headlightfish,CalHeadl,Diaphus theta,Actinopteri,
Sebastes pinniger,Canary Rockfish,CanRock,Sebastes,Actinopteri,
Oncorhynchus tshawytscha,Chinook salmon,ChinSal,Oncorhynchus tshawytscha,Actinopteri,
Oncorhynchus keta,Chum salmon ad,ChumSalVAQ,Oncorhynchus keta,Actinopteri,salmon_2
Oncorhynchus keta,Chum salmon juv,ChumSal,Oncorhynchus keta,Actinopteri,
Anoplarchus purpurescens,High Cockscomb,Cockscomb,Anoplarchus,Actinopteri,
Oncorhynchus kisutch,Coho salmon,Coho,Oncorhynchus kisutch,Actinopteri,
Oncorhynchus kisutch,Coho salmon,Coho_VAQ,Oncorhynchus kisutch,Actinopteri,salmon_1
Oncorhynchus kisutch,Coho salmon,CohoSal,Oncorhynchus kisutch,Actinopteri,
Pandalus hypsinotus,Coonstripe shrimp,CoonStShrp,,Pandalus,
Pleuronichthys coenosus,C-O sole,COSol,Pleuronichthys coenosus,Actinopteri,
Pholis laeta,Crescent gunnel,CresGun,Pholis laeta,Actinopteri,
Sebastes caurinus,Copper rockfish,CURock,Sebastes,Actinopteri,
Chirolophis decoratus,Decorated warbonnet,DecWarb,Chirolophis,Actinopteri,
Microstomus pacificus,Dover sole,DovSol,Microstomus pacificus,Actinopteri,
Eumatopias jubatus,Steller Sea lion,Ej,Chordata,Mammalia,
Parophrys vetulus,English sole,EngSol,Parophrys vetulus,Actinopteri,
Thaleichthys pacificus,Eulachon,Eulach,Thaleichthys pacificus,Actinopteri,
Hippoglossoides elassodon,Flathead sole,FltHdSol,Hippoglossoides,Actinopteri,
Neotrypaea californiensis,Bay ghost shrimp,GhShrmp,,Neotrypaea,
