"sampleid","project","Plate_ID","Well_ID","samplename","tech_rep","Demultiplex_ID","Index_set","region","sp_abbrev","sample","Target_species","Target_sampleID","Target_initial_mass","PacHer_initial_mass","Mixture_final_mass","prop_target","prop_ref","Species","Common_name","MiFish_taxon_assign","18S_taxon_assign","diet_sp","time","creek","station","biol","tech","formatted_biol","station_num_18S","model_out_name_18S"
"TM_A10","CorrectionBiasPvDiet","Prey18S_3","A10","TM_01_LnoseSkate",1,"TM_A10","C","TissueMix","LnoseSkate","TM_01_LnoseSkate","LnoseSkate","01_LNoseSkate",2.006,2.006,4.165,0.481632653061224,0.481632653061224,"Beringraja rhina","Longnose skate","Beringraja rhina","Rajidae",NA,1,"TM","LnoseSkate",1,1,"01",7,"1_TM_7_1"
"TM_A10","CorrectionBiasPvDiet","Prey18S_3","A10","TM_01_LnoseSkate",1,"TM_A10","C","TissueMix","LnoseSkate","TM_01_LnoseSkate","LnoseSkate","01_LNoseSkate",2.006,2.006,4.165,0.481632653061224,0.481632653061224,"Beringraja rhina","Longnose skate","Beringraja rhina","Rajidae",NA,1,"TM","LnoseSkate",1,1,"01",7,"1_TM_7_1"
"TM_A11","CorrectionBiasPvDiet","Prey18S_3","A11","TM_01_SqVAQ",3,"TM_A11","C","TissueMix","SqVAQ","TM_01_SqVAQ_03","SqVAQ","01_SqVAQ",2.8,2.8,5.44,0.514705882352941,0.514705882352941,"Doryteuthis opalescens","Market squid",NA,"Cephalopoda","squid",1,"TM","SqVAQ",1,3,"01",17,"1_TM_17_1"
"TM_A12","CorrectionBiasPvDiet","Prey18S_3","A12","TM_02_MusPolyWorm",1,"TM_A12","C","TissueMix","MusPolyWorm","TM_02_MusPolyWorm","MusPolyWorm","02_MusPolyWorm",1.37,1.368,2.73,0.501831501831502,0.501098901098901,"Nereis vexillosa","Mussel polychaete worm",NA,"Nereididae",NA,1,"TM","MusPolyWorm",2,1,"02",10,"1_TM_10_2"
"TM_A6","CorrectionBiasPvDiet","Prey18S_3","A6","TM_01_MgArmSq",1,"TM_A6","C","TissueMix","MgArmSq","TM_01_MgArmSq","MgArmSq","01_MgArmSq",2.001,2.001,4.156,0.481472569778633,0.481472569778633,"Berryteuthis magister","Magister armhook squid",NA,"Cephalopoda",NA,1,"TM","MgArmSq",1,1,"01",8,"1_TM_8_1"
"TM_A7","CorrectionBiasPvDiet","Prey18S_3","A7","TM_03_MktSq",1,"TM_A7","C","TissueMix","MktSq","TM_03_MktSq","MktSq","03_MktSq",5.086,5.08,10.062,0.505466110117273,0.504869807195389,"Doryteuthis opalescens","Market squid",NA,"Cephalopoda",NA,1,"TM","MktSq",3,1,"03",9,"1_TM_9_3"
"TM_A8","CorrectionBiasPvDiet","Prey18S_3","A8","TM_01_RedOcto",2,"TM_A8","C","TissueMix","RedOcto","TM_01_RedOcto_02","RedOcto","01_RedOcto",2.006,2.006,4.018,0.499253359880538,0.499253359880538,"Octopus rubescens","Red octopus",NA,"Cephalopoda",NA,1,"TM","RedOcto",1,2,"01",13,"1_TM_13_1"
"TM_A9","CorrectionBiasPvDiet","Prey18S_3","A9","TM_01_PnkShrmp",1,"TM_A9","C","TissueMix","PnkShrmp","TM_01_PnkShrmp","PnkShrmp","01_PnkShrimp_01",5.05982,5.01766,10.08825,0.501555770326865,0.497376651054445,"Pandalus jordani","Pink shrimp",NA,"Pandalus",NA,1,"TM","PnkShrmp",1,1,"01",11,"1_TM_11_1"
"TM_B10","CorrectionBiasPvDiet","Prey18S_3","B10","TM_02_LnoseSkate",1,"TM_B10","C","TissueMix","LnoseSkate","TM_02_LnoseSkate","LnoseSkate","02_LNoseSkate",2.008,2.005,4.07,0.493366093366093,0.492628992628993,"Beringraja rhina","Longnose skate","Beringraja rhina","Rajidae",NA,1,"TM","LnoseSkate",2,1,"02",7,"1_TM_7_2"
"TM_B10","CorrectionBiasPvDiet","Prey18S_3","B10","TM_02_LnoseSkate",1,"TM_B10","C","TissueMix","LnoseSkate","TM_02_LnoseSkate","LnoseSkate","02_LNoseSkate",2.008,2.005,4.07,0.493366093366093,0.492628992628993,"Beringraja rhina","Longnose skate","Beringraja rhina","Rajidae",NA,1,"TM","LnoseSkate",2,1,"02",7,"1_TM_7_2"
"TM_B11","CorrectionBiasPvDiet","Prey18S_3","B11","TM_01_GhShrmp",1,"TM_B11","C","TissueMix","GhShrmp","TM_01_GhShrmp","GhShrmp","01_GhShrimp_01",2,2,3.693,0.541565123206066,0.541565123206066,"Neotrypaea californiensis","Bay ghost shrimp",NA,"Neotrypaea",NA,1,"TM","GhShrmp",1,1,"01",6,"1_TM_6_1"
