"sampleid","project","Plate_ID","Well_ID","samplename","tech_rep","Demultiplex_ID","Index_set","region","sp_abbrev","sample","Target_species","Target_sampleID","Target_initial_mass","PacHer_initial_mass","Mixture_final_mass","prop_target","prop_ref","Species","Common_name","MiFish_taxon_assign","18S_taxon_assign","diet_sp","time","creek","station","biol","tech","formatted_biol","station_num_MiF","model_out_name_MiF"
"TM_01_BrRockfish","CorrectionBiasPvDiet","MiFish_4","A1","TM_01_BrRckFish",1,"TM_01_BrRockfish","D","TissueMix","BrRckFish","TM_01_BrRckFish","BrRckFish","01_BrRckFish",1.901,1.898,3.798,0.500526592943655,0.499736703528173,"Sebastes auriculatus","Brown Rockfish","Sebastes","Actinopteri",NA,1,"TM","BrRckFish",1,1,"01",7,"1_TM_7_1"
"TM_A10","CorrectionBiasPvDiet","MiFish_3","A10","TM_01_NAnch",1,"TM_A10","C","TissueMix","NAnch","TM_01_NAnch","NAnch","01_Nanch",2.001,2.002,4.535,0.441234840132304,0.441455347298787,"Engraulis mordax","Northern anchovy","Engraulis mordax","Actinopteri",NA,1,"TM","NAnch",1,1,"01",26,"1_TM_26_1"
"TM_03_QuilRockF","CorrectionBiasPvDiet","MiFish_4","A10","TM_03_QuilRock",1,"TM_03_QuilRockF","D","TissueMix","QuilRock","TM_03_QuilRock","QuilRock","03_QuilRock",2.002,2.002,3.871,0.517179023508137,0.517179023508137,"Sebastes maliger","Quillback rockfish","Sebastes","Actinopteri",NA,1,"TM","QuilRock",3,1,"03",40,"1_TM_40_3"
"TM_A11","CorrectionBiasPvDiet","MiFish_3","A11","TM_03_WalPol",1,"TM_A11","C","TissueMix","WalPol","TM_03_WalPol","WalPol","03_WalPol",2,2,3.967,0.504159314343332,0.504159314343332,"Gadus chalcogrammus","Walleye pollock","Gadus chalcogrammus","Actinopteri",NA,1,"TM","WalPol",3,1,"03",58,"1_TM_58_3"
"TM_02_BlkEelpt","CorrectionBiasPvDiet","MiFish_4","A11","TM_02_BlkEelpt",1,"TM_02_BlkEelpt","D","TissueMix","BlkEelpt","TM_02_BlkEelpt","BlkEelpt","02_BlkEelpt_01",5.0482,5.04474,10.22193,0.493859770121689,0.49352128218448,"Lycodes pacificus","Blackbelly eelpout","Lycodes","Actinopteri",NA,1,"TM","BlkEelpt",2,1,"02",6,"1_TM_6_2"
"TM_A12","CorrectionBiasPvDiet","MiFish_3","A12","TM_01_FltHdSol",1,"TM_A12","C","TissueMix","FltHdSol","TM_01_FltHdSol","FltHdSol","01_FltHdSol",2.002,2.003,3.812,0.525183630640084,0.525445960125918,"Hippoglossoides elassodon","Flathead sole","Hippoglossoides","Actinopteri",NA,1,"TM","FltHdSol",1,1,"01",20,"1_TM_20_1"
"TM_01_LfinSmel","CorrectionBiasPvDiet","MiFish_4","A12","TM_01_LfinSmel",1,"TM_01_LfinSmel","D","TissueMix","LfinSmel","TM_01_LfinSmel","LfinSmel","01_LfSmelt",1.634,1.632,3.245,0.503543913713405,0.502927580893683,"Spirinchus thaleichthys","Longfin smelt","Spirinchus thaleichthys","Actinopteri",NA,1,"TM","LfinSmel",1,1,"01",23,"1_TM_23_1"
"TM_02_Hake","CorrectionBiasPvDiet","MiFish_4","A2","TM_02_Hake",1,"TM_02_Hake","D","TissueMix","Hake","TM_02_Hake","Hake","02_Hake",2.002,2.001,3.911,0.511889542316543,0.511633853234467,"Merluccius productus","Hake","Merluccius productus","Actinopteri",NA,1,"TM","Hake",2,1,"02",22,"1_TM_22_2"
"TM_01_GrtSculp","CorrectionBiasPvDiet","MiFish_4","A3","TM_01_GrtSculp",1,"TM_01_GrtSculp","D","TissueMix","GrtSculp","TM_01_GrtSculp","GrtSculp","01_GrtSculp",5.00682,5.0261,10.1117,0.495151161525757,0.497057863662886,"Myoxocephalus polycanthocephalus","Great sculpin","Myoxocephalus","Actinopteri",NA,1,"TM","GrtSculp",1,1,"01",21,"1_TM_21_1"
"TM_03_PnkSal","CorrectionBiasPvDiet","MiFish_4","A4","TM_03_PnkSal",1,"TM_03_PnkSal","D","TissueMix","PnkSal","TM_03_PnkSal","PnkSal","03_PnkSal",1.925,1.936,3.85,0.5,0.502857142857143,"Oncorhynchus gorbuscha","Pink salmon","Oncorhynchus gorbuscha","Actinopteri",NA,1,"TM","PnkSal",3,1,"03",37,"1_TM_37_3"
"Plate3_A5","CorrectionBiasPvDiet","MiFish_3","A5","TM_03_NSpearPoach",1,"Plate3_A5","C","TissueMix","NSpearPoach","TM_03_NSpearPoach","NSpearPoach","03_NSpearPoach",5.07021,5.09762,10.5115,0.482348856014841,0.484956476240308,"Agonopsis vulsa","Northern Spearnose Poacher","Agonopsis vulsa","Actinopteri",NA,1,"TM","NSpearPoach",3,1,"03",28,"1_TM_28_3"
"TM_03_Coho_VAQ","CorrectionBiasPvDiet","MiFish_4","A5","TM_03_CohoVAQ",1,"TM_03_Coho_VAQ","D","TissueMix","Coho_VAQ","TM_03_CohoVAQ","Coho_VAQ","03_Coho_VAQ",2.007,2.008,3.871,0.518470679411005,0.518729010591578,"Oncorhynchus kisutch","Coho salmon","Oncorhynchus kisutch","Actinopteri","salmon_1",1,"TM","CohoVAQ",3,1,"03",16,"1_TM_16_3"
"TM_A6","CorrectionBiasPvDiet","MiFish_3","A6","TM_02_Ratfish",1,"TM_A6","C","TissueMix","Ratfish","TM_02_Ratfish","Ratfish","02_RatFish_01",5.03029,5.0914,10.42997,0.482291895374579,0.488150972629835,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",2,1,"02",41,"1_TM_41_2"
"TM_A6","CorrectionBiasPvDiet","MiFish_3","A6","TM_02_Ratfish",1,"TM_A6","C","TissueMix","Ratfish","TM_02_Ratfish","Ratfish","02_RatFish_01",5.03029,5.0914,10.42997,0.482291895374579,0.488150972629835,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",2,1,"02",41,"1_TM_41_2"
"TM_02_SockSal","CorrectionBiasPvDiet","MiFish_4","A6","TM_02_SockSal",1,"TM_02_SockSal","D","TissueMix","SockSal","TM_02_SockSal","SockSal","02_SockSal",2.001,2.001,3.834,0.521909233176839,0.521909233176839,"Oncorhynchus nerka","Sockeye salmon","Oncorhynchus nerka","Actinopteri",NA,1,"TM","SockSal",2,1,"02",49,"1_TM_49_2"
"TM_A7","CorrectionBiasPvDiet","MiFish_3","A7","TM_02_SpDog",1,"TM_A7","C","TissueMix","SpDog","TM_02_SpDog","SpDog","04_SpDog",2.006,2.006,4.1,0.489268292682927,0.489268292682927,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",2,1,"02",50,"1_TM_50_2"
"TM_A7","CorrectionBiasPvDiet","MiFish_3","A7","TM_02_SpDog",1,"TM_A7","C","TissueMix","SpDog","TM_02_SpDog","SpDog","04_SpDog",2.006,2.006,4.1,0.489268292682927,0.489268292682927,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",2,1,"02",50,"1_TM_50_2"
"TM_03_Lingcod","CorrectionBiasPvDiet","MiFish_4","A7","TM_03_Lingcod",1,"TM_03_Lingcod","D","TissueMix","Lingcod","TM_03_Lingcod","Lingcod","03_LingCod",2.008,2.006,3.948,0.508611955420466,0.508105369807497,"Ophiodon elongatus","Lingcod","Ophiodon elongatus","Actinopteri",NA,1,"TM","Lingcod",3,1,"03",24,"1_TM_24_3"
"TM_A8","CorrectionBiasPvDiet","MiFish_3","A8","TM_03_Cockscomb",1,"TM_A8","C","TissueMix","Cockscomb","TM_03_Cockscomb","Cockscomb","03_Cockscomb",1.59,1.59,3.075,0.517073170731707,0.517073170731707,"Anoplarchus purpurescens","High Cockscomb","Anoplarchus","Actinopteri",NA,1,"TM","Cockscomb",3,1,"03",14,"1_TM_14_3"
"TM_01_StarFloun","CorrectionBiasPvDiet","MiFish_4","A8","TM_01_StarFloun",1,"TM_01_StarFloun","D","TissueMix","StarFloun","TM_01_StarFloun","StarFloun","01_StarFloun",5.07454,5.09304,10.19473,0.497761098135998,0.499575761202111,"Platichthys stellatus","Starry flounder","Platichthys","Actinopteri",NA,1,"TM","StarFloun",1,1,"01",52,"1_TM_52_1"
"TM_A9","CorrectionBiasPvDiet","MiFish_3","A9","TM_02_PacSanddab",1,"TM_A9","C","TissueMix","PacSanddab","TM_02_PacSanddab","PacSanddab","02_PacSandDab",5.04981,5.08311,10.10746,0.499612167646471,0.50290676391497,"Citharichthys sordidus","Pacific sanddab","Citharichthys sordidus","Actinopteri",NA,1,"TM","PacSanddab",2,1,"02",33,"1_TM_33_2"
"TM_03_SturPoach","CorrectionBiasPvDiet","MiFish_4","A9","TM_03_SturPoach",1,"TM_03_SturPoach","D","TissueMix","SturPoach","TM_03_SturPoach","SturPoach","03_SturPoach_01",5.00683,5.00123,10.21414,0.49018615370457,0.489637894134993,"Podothecus accipenserinus","Sturgeon Poacher","Podothecus accipenserinus","Actinopteri",NA,1,"TM","SturPoach",3,1,"03",54,"1_TM_54_3"
