sampleid	plate-well	project
18OO0001	A-A01	HarborSealScat_HS_1-4
18OO0002	A-B01	HarborSealScat_HS_1-4
18OO0003	A-C01	HarborSealScat_HS_1-4
18OO0004	A-D01	HarborSealScat_HS_1-4
18OO0005	A-E01	HarborSealScat_HS_1-4
18OO0006	A-F01	HarborSealScat_HS_1-4
18OO0007	A-G01	HarborSealScat_HS_1-4
18OO0008	A-H01	HarborSealScat_HS_1-4
18OO0009	A-A02	HarborSealScat_HS_1-4
18OO0010	A-B02	HarborSealScat_HS_1-4
18OO0011	A-C02	HarborSealScat_HS_1-4
18OO0012	A-D02	HarborSealScat_HS_1-4
18OO0013	A-E02	HarborSealScat_HS_1-4
18OO0014	A-F02	HarborSealScat_HS_1-4
18OO0015	A-G02	HarborSealScat_HS_1-4
18OO0016	A-H02	HarborSealScat_HS_1-4
18OO0017	A-A03	HarborSealScat_HS_1-4
18OO0018	A-B03	HarborSealScat_HS_1-4
18OO0019	A-C03	HarborSealScat_HS_1-4
18OO0020	A-D03	HarborSealScat_HS_1-4
18OO0021	A-E03	HarborSealScat_HS_1-4
18OO0022	A-F03	HarborSealScat_HS_1-4
18OO0023	A-G03	HarborSealScat_HS_1-4
18OO0024	A-H03	HarborSealScat_HS_1-4
18OO0025	A-A04	HarborSealScat_HS_1-4
18OO0026	A-B04	HarborSealScat_HS_1-4
18OO0044	A-C04	HarborSealScat_HS_1-4
18OO0045	A-D04	HarborSealScat_HS_1-4
18OO0046	A-E04	HarborSealScat_HS_1-4
18OO0047	A-F04	HarborSealScat_HS_1-4
18OO0048	A-G04	HarborSealScat_HS_1-4
18OO0049	A-H04	HarborSealScat_HS_1-4
18OO0050	A-A05	HarborSealScat_HS_1-4
18OO0051	A-B05	HarborSealScat_HS_1-4
18OO0052	A-C05	HarborSealScat_HS_1-4
18OO0053	A-D05	HarborSealScat_HS_1-4
18OO0054	A-E05	HarborSealScat_HS_1-4
18OO0055	A-F05	HarborSealScat_HS_1-4
18OO0056	A-G05	HarborSealScat_HS_1-4
18OO0057	A-H05	HarborSealScat_HS_1-4
18OO0058	A-A06	HarborSealScat_HS_1-4
18OO0059	A-B06	HarborSealScat_HS_1-4
18OO0060	A-C06	HarborSealScat_HS_1-4
18OO0061	A-D06	HarborSealScat_HS_1-4
18OO0062	A-E06	HarborSealScat_HS_1-4
18OO0063	A-F06	HarborSealScat_HS_1-4
18OO0064	A-G06	HarborSealScat_HS_1-4
