Sample_ID,sampleid,year
Pv17-001,17RH0001,2017
Pv17-002,17RH0002,2017
Pv17-003,17RH0003,2017
Pv17-004,17RH0004,2017
Pv17-005,17RH0005,2017
Pv17-006,17RH0006,2017
Pv17-007,17RH0007,2017
Pv17-008,17RH0008,2017
Pv17-009,17RH0009,2017
Pv17-010,17RH0010,2017
Pv17-011,17RH0011,2017
Pv17-012,17RH0012,2017
Pv17-013,17RH0013,2017
Pv17-014,17RH0014,2017
Pv17-015,17RH0015,2017
Pv17-016,17RH0016,2017
Pv17-017,17RH0017,2017
Pv17-018,17RH0018,2017
Pv17-019,17RH0019,2017
Pv17-020,17RH0020,2017
Pv17-021,17RH0021,2017
Pv17-022,17RH0022,2017
Pv17-023,17RH0023,2017
NTC_1,NTC_1,NA
Pv17-024,17RH0024,2017
Pv17-025,17RH0025,2017
Pv17-026,17RH0026,2017
Pv17-027,17RH0027,2017
Pv17-028,17RH0028,2017
Pv17-029,17RH0029,2017
Pv17-030,17RH0030,2017
Pv17-031,17RH0031,2017
Pv17-032,17RH0032,2017
Pv17-033,17RH0033,2017
Pv17-034,17RH0034,2017
Pv17-035,17RH0035,2017
Pv17-036,17RH0036,2017
Pv17-037,17RH0037,2017
Pv17-038,17RH0038,2017
Pv17-039,17RH0039,2017
Pv17-040,17RH0040,2017
Pv17-041,17RH0041,2017
Pv17-042,17RH0042,2017
Pv17-043,17RH0043,2017
Pv17-044,17RH0044,2017
Pv17-045,17RH0045,2017
Pv17-046,17RH0046,2017
NTC_2,NTC_2,NA
Pv17-047,17RH0047,2017
Pv17-048,17RH0048,2017
Pv17-049,17RH0049,2017
Pv17-050,17RH0050,2017
Pv17-051,17RH0051,2017
Pv17-052,17RH0052,2017
Pv17-053,17RH0053,2017
Pv17-054,17RH0054,2017
Pv17-055,17RH0055,2017
Pv17-056,17RH0056,2017
Pv17-057,17RH0057,2017
Pv17-058,17RH0058,2017
Pv17-059,17RH0059,2017
Pv17-060,17RH0060,2017
Pv17-061,17RH0061,2017
Pv17-062,17RH0062,2017
Pv17-063,17RH0063,2017
Pv17-064,17RH0064,2017
Pv17-065,17RH0065,2017
Pv17-066,17RH0066,2017
Pv17-067,17RH0067,2017
Pv17-068,17RH0068,2017
Pv17-069,17RH0069,2017
NTC_3,NTC_3,NA
Pv17-070,17RH0070,2017
Pv17-071,17RH0071,2017
Pv17-072,17RH0072,2017
Pv17-073,17RH0073,2017
Pv17-074,17RH0074,2017
Pv17-075,17RH0075,2017
Pv17-076,17RH0076,2017
Pv17-077,17RH0077,2017
Pv17-078,17RH0078,2017
Pv17-079,17RH0079,2017
Pv17-080,17RH0080,2017
Pv17-081,17RH0081,2017
Pv17-082,17RH0082,2017
Pv17-083,17RH0083,2017
Pv17-084,17RH0084,2017
Pv17-085,17RH0085,2017
Pv17-086,17RH0086,2017
Pv17-087,17RH0087,2017
Pv17-088,17RH0088,2017
Pv17-089,17RH0089,2017
Pv17-090,17RH0090,2017
Pv17-091,17RH0091,2017
Pv17-092,17RH0092,2017
NTC_4,NTC_4,NA
Pv17-093,17RH0093,2017
Pv17-094,17RH0094,2017
Pv17-095,17RH0095,2017
Pv17-096,17RH0096,2017
Pv17-097,17RH0097,2017
Pv17-098,17RH0098,2017
Pv17-099,17RH0099,2017
Pv17-100,17RH0100,2017
Pv17-101,17RH0101,2017
Pv17-102,17RH0102,2017
Pv17-103,17RH0103,2017
Pv17-104,17RH0104,2017
Pv17-105,17RH0105,2017
