"featureid","final_taxonomy"
"17b49857ff58679eac8be1fea71d6c6d","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima"
"d4fb3dd240a291e36b180ab1a3f98cc3","Eukaryota;Ascomycota;Eurotiomycetes"
"957a55b4976fe1e83fc2fa6818c6f3c5","Eukaryota;Mollusca;Cephalopoda;Myopsida;Loliginidae;Doryteuthis"
"b675a1c953ed242e1a171c47f6e5dc1e","Eukaryota;Chordata;Mammalia"
"6c88e81365ea3e55bd20563c794dd94b","Eukaryota;Arthropoda;Malacostraca;Decapoda;Penaeidae;Panaeus;Penaeus monodon"
"064bc76bf438140e6319b75b7f60495d","Eukaryota;Chordata;Actinopteri"
"abfa0d0749e251632f468b93188589bf","Eukaryota;Arthropoda;Malacostraca;Decapoda;Pandalidae;Pandalus"
"6d8ddfb72cc516dc3e23d4f7090423a2","Eukaryota;Arthropoda;Malacostraca;Decapoda;Callianassidae;Neotrypaea;Neotrypaea californiensis"
"5aed00e5b2bfea51b600ece5420d73b4","Eukaryota;Chordata;Actinopteri"
"870f8692b2203fcb2a2c11cc57dc868a","Eukaryota;Arthropoda;Malacostraca;Decapoda;Crangonidae;Crangon;Crangon spp."
"96dd1829e858dfc33d71f5ecd43d5544","Eukaryota;Gblock_18S_FlameShell_wombat;synthclass;synthorder;synthfam;FlameBat;FlameBat synthetic"
"f30c6695e746cdb095e716187748c358","Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae"
"30208c53d96bc6d2b412fdeca790b1fe","Eukaryota;Chordata;Actinopteri;Osmeriformes;Osmeridae;Hypomesus;NA"
"c515bc7ab29bee7d1c96815ede9afbfc","Eukaryota;Ascomycota"
"f325d2d883462ced663630a5d4837e4f","Eukaryota;Chordata;Hyperoartia;Petromyzontiformes;Petromyzontidae;Lampetra;Lampetra fluviatilis"
"c0c0216961c7c2c296ab9ca194740a1d","Eukaryota"
"7d29e9cf21a14f4f2d21705a0a99cd31","Eukaryota;Chordata;Chondrichthyes;Squaliformes;Squalidae;Squalus;Squalus suckleyi"
"1bf6b462f6a6050ff71a886c39bd5b1c","Eukaryota;Mollusca;Cephalopoda;Octopoda;Octopodidae;Octopus;NA"
"7e7763035ccc9eb696a56a46d54fe715","Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Taeniacanthidae;NA;NA"
"0ad36b03d111291a789c053c18cf9c0f","Eukaryota"
"d67b73c7b01ca80d20591dd3a81a45e2","Eukaryota"
"3f246f50be2ba4027ce71c83384da036","Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae"
"86ef98e5f8d750e4c6639e5335150855","Eukaryota"
"e5afd4ec87555063a4609532011ba78f","Eukaryota;Chordata;Mammalia"
"3a82cb2ca3a8b26ab878581135285aa8","Eukaryota"
"111b92e8b7b9cf3dc3cc1fd8d816dfd0","Eukaryota;Chordata;Hyperoartia;Petromyzontiformes;Petromyzontidae;Lampetra;Lampetra fluviatilis"
"d26c4d42e98611ca32edf85f2fe81b6d","Eukaryota"
"5014c10caeb3cf0f34cc6d609a5b4159","Eukaryota;Streptophyta;Magnoliopsida"
"ccdf2ed0db6277e56e5b4d389b141b54","Eukaryota;Ascomycota;Eurotiomycetes"
"08e29ea98ac80fa35ef3dc28ef26b4d2","Eukaryota;Mollusca;Cephalopoda;Oegopsida;Gonatidae"
"c4722ff315d49c7a0e19e629863f7c0a","Eukaryota"
"63270a867479e5f29336f081c9a66b85","Eukaryota;Streptophyta;Magnoliopsida"
"5d105c8382e1cb51b4f9f73f52c226de","Eukaryota;Chordata;Mammalia"
"1507b4ebec55c6658df007c4447b7915","Eukaryota;Chordata;Mammalia"
"6a38ce6b0340c10504b1b6f72f0e4dfa","Eukaryota;Arthropoda;Ostracoda;Podocopida;Loxoconchidae;Loxocorniculum;Loxocorniculum mutsuense"
"f03248cc5b91eba332aefa50246a3ff3","Eukaryota;Chordata;Mammalia"
"d1ae846c504c24e4cc4b517ae21c9144","Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;NA;NA"
"d1280db09239729266d96ef41a8bd2a5","Eukaryota"
"3d750c078c711c60ade175fe521581ad","Eukaryota;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Catapyrenium;Catapyrenium daedaleum"
"0993c3c35f8e47da6f69735d6b491dee","Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae"
"82ae1b6d301d8d200c020f80cee815e9","Eukaryota;Chordata;Actinopteri"
"75922168b92cbf10db536dfb5e303481","Eukaryota;Ascomycota"
"e0b3ab13f7d42ce151569f9565b9dfce","Eukaryota;Ciliophora"
"1ff469cab53f1a06816e3459c4c87b70","Eukaryota;Streptophyta;Magnoliopsida;Pandanales;Stemonaceae;Stichoneuron;Stichoneuron caudatum"
"73c1ccd3eb68d6d7370f1ca61ddff083","Eukaryota;Arthropoda"
"6ae0c47da5bc481ab867b34c00e870b5","Eukaryota;Ascomycota"
"6e8363a8cbd1b3b7c61c50b4fe21eaf5","Eukaryota;Arthropoda;Malacostraca;Decapoda"
"81b072ab61598d340c85ec72d5f20db3","Eukaryota;Chordata"
"1caed88d942ee51a0186a4406e8bdcaa","Eukaryota"
"466d4d6afb383ffcebc195e07b6463bb","Eukaryota;Ascomycota"
"aedcca2ee334f122f88507a5ec19e48f","Eukaryota;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Catapyrenium;Catapyrenium daedaleum"
"8176f3dca601c3dc9dec606893c2de1e","Eukaryota;Chordata;Hyperoartia;Petromyzontiformes;Petromyzontidae;Lampetra;Lampetra fluviatilis"
"e8e241617b7193fd01f1b3060432686b","Eukaryota"
"25ee747f171a2d53e8a3afb8a8535cf5","Eukaryota;Chordata;Mammalia"
"6708614d7f6c3c45202afb9f6e0d4fa4","Eukaryota;Chordata;Actinopteri"
"49011166c901a7343a46aebb64fe1e4b","Eukaryota;Streptophyta;Magnoliopsida"
"716c5a79435b6c0f6ded2838dd4ac7eb","Eukaryota;Chordata;Mammalia"
"75444190590281c98191cc82a7fdd8c0","Eukaryota;Streptophyta;Magnoliopsida"
"f163c7b18dfd4fa7ea96052f527a860c","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"91c23e9df9c0e38b4e0c6e45809e7db3","Eukaryota"
"28ab99dbc482f9c0e0cbc55db7da2f42","Eukaryota;Nematoda;Chromadorea;Chromadorida;Chromadoridae;Ptycholaimellus;Ptycholaimellus sp. s ZZ-2021"
"5871f19ae6c29827f919b5121ed7cff5","Eukaryota"
"c2ce6781fed4c7579d85c0a650cc45ec","Eukaryota;Streptophyta;Magnoliopsida;Pandanales;Stemonaceae;Stichoneuron;Stichoneuron caudatum"
"85fcdca8a76221aea7fa9e9250c7bae7","Eukaryota;Ascomycota"
"53e63d686823d0123473d2b969a7f020","Eukaryota;Chordata;Actinopteri"
"c9c8be3fac7654d07235bd0d97c46fb6","Eukaryota"
"1050679e1c1b1cc05357e5f007adb7ce","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"1c13a23926caa93d7f4a555c59ebd5ed","Eukaryota;Chordata;Actinopteri"
"4a7563e302b79fc1589d93d7919320f0","Eukaryota"
"923c9ab1d6f086b7d26f1c020deba063","Eukaryota;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Catapyrenium;Catapyrenium daedaleum"
"631c85e17af4f31a8e804c557632430f","Eukaryota;Chordata;Actinopteri"
"fcd8d44e9667952800b32ba3a4a35761","Eukaryota;Bacillariophyta;Bacillariophyceae"
"f669b0def9c95a6479ad79181714f090","Eukaryota;Nematoda"
"3fbfbd002c891ed0052558d2d3999836","Eukaryota"
"fc9a080ac19bbd7212479301088e88e3","Eukaryota"
"83fc45170a915790a09d66e49d3ef68c","Eukaryota;Chordata;Actinopteri"
"ed79c9624eac13cd23405fac5a6c73d1","Eukaryota;Mollusca;Cephalopoda;Octopoda;Octopodidae;Octopus"
"b3f743fe245670bbe2507b09e270d2fa","Eukaryota;Arthropoda;Malacostraca;Decapoda"
"0577baa0587121a96dab0eaf0dc38204","Eukaryota;Arthropoda"
"82eabc02451083f485748813b0dda1f5","Eukaryota"
"ec06fe33c614f01d22320c872aa566d3","Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Eupeodes;Eupeodes latifasciatus"
"e8db8282e2ec0a30b4e3dd6e42b5c4f6","Eukaryota"
"d057ccb63af165172db0c76a7fa77e8c","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"89124f5edef7400432ba8ba3a6894065","Eukaryota;Arthropoda;Malacostraca;Decapoda;Callianassidae;Neotrypaea;Neotrypaea californiensis"
"24efa2c271204ca217a92cf9fd16c3da","Eukaryota;Chordata;Mammalia"
"38722ff89fb0943c84118112f7bc03dd","Eukaryota"
