"samplename","time","sampletype","station","biol","tech","species_name","Nreads","station_num","station_type","model_out_name","corrected_prop","median_prop","lower_95","upper_95","sd_prop","total_reads_sample","uncorrected_prop","expected_prop","source","sample_type","sample"
"MC_18S_RepFish_Even_R1",1,"MockCom","RepFish_Even",1,1,"Crangon",3285,1,"MockCom2","1_MockCom_1_1",0.0347805686373834,0.0325062518918226,0.0152148323627873,0.0697194125462745,0.0140151598182825,48454,0.0677962603706608,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Even_R2",1,"MockCom","RepFish_Even",1,2,"Crangon",2523,1,"MockCom2","1_MockCom_1_1",0.0347805686373834,0.0325062518918226,0.0152148323627873,0.0697194125462745,0.0140151598182825,34164,0.0738496663154197,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Even_R3",1,"MockCom","RepFish_Even",1,3,"Crangon",2850,1,"MockCom2","1_MockCom_1_1",0.0347805686373834,0.0325062518918226,0.0152148323627873,0.0697194125462745,0.0140151598182825,40990,0.0695291534520615,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Skew_1_R1",1,"MockCom","RepFish_Skew_1",1,1,"Crangon",1206,2,"MockCom2","1_MockCom_2_1",0.0179411995058952,0.0167819185209143,0.00816322234304379,0.0352801974212636,0.0069553376517876,55336,0.0217941304033541,0.0356294536817102,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_1_R2",1,"MockCom","RepFish_Skew_1",1,2,"Crangon",600,2,"MockCom2","1_MockCom_2_1",0.0179411995058952,0.0167819185209143,0.00816322234304379,0.0352801974212636,0.0069553376517876,25216,0.0237944162436548,0.0356294536817102,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_1_R3",1,"MockCom","RepFish_Skew_1",1,3,"Crangon",943,2,"MockCom2","1_MockCom_2_1",0.0179411995058952,0.0167819185209143,0.00816322234304379,0.0352801974212636,0.0069553376517876,39078,0.0241312247300271,0.0356294536817102,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_2_R1",1,"MockCom","RepFish_Skew_2",1,1,"Crangon",2982,3,"MockCom2","1_MockCom_3_1",0.0615421247159915,0.0580319652601629,0.0282491837158115,0.117227858372251,0.0229667454669939,35874,0.0831242682722863,0.0824742268041237,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R2",1,"MockCom","RepFish_Skew_2",1,2,"Crangon",1613,3,"MockCom2","1_MockCom_3_1",0.0615421247159915,0.0580319652601629,0.0282491837158115,0.117227858372251,0.0229667454669939,21387,0.0754196474493851,0.0824742268041237,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R3",1,"MockCom","RepFish_Skew_2",1,3,"Crangon",2860,3,"MockCom2","1_MockCom_3_1",0.0615421247159915,0.0580319652601629,0.0282491837158115,0.117227858372251,0.0229667454669939,27638,0.103480714957667,0.0824742268041237,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Even_R1",1,"MockCom","RepFish_Even",1,1,"Pandalus",12904,1,"MockCom2","1_MockCom_1_1",0.188905201607646,0.181629803401778,0.0904994623403738,0.327940156624557,0.061035494234719,48454,0.266314442564081,0.2,"Mock","MockCom2","RepFish_Even"
