"samplename","time","sampletype","stationname","biol","tech","species_name","Nreads","station_num","station_type","model_out_name"
"MC_18S_RepFish_Even_R1","1","MockCom","RepFish_Even","1",1,"Crangon",3285,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Even_R2","1","MockCom","RepFish_Even","1",2,"Crangon",2523,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Even_R3","1","MockCom","RepFish_Even","1",3,"Crangon",2850,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Skew_1_R1","1","MockCom","RepFish_Skew_1","1",1,"Crangon",1206,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_1_R2","1","MockCom","RepFish_Skew_1","1",2,"Crangon",600,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_1_R3","1","MockCom","RepFish_Skew_1","1",3,"Crangon",943,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_2_R1","1","MockCom","RepFish_Skew_2","1",1,"Crangon",2982,3,"MockCom2","1_MockCom_3_1"
"MC_18S_RepFish_Skew_2_R2","1","MockCom","RepFish_Skew_2","1",2,"Crangon",1613,3,"MockCom2","1_MockCom_3_1"
"MC_18S_RepFish_Skew_2_R3","1","MockCom","RepFish_Skew_2","1",3,"Crangon",2860,3,"MockCom2","1_MockCom_3_1"
"MC_18S_RepFish_Even_R1","1","MockCom","RepFish_Even","1",1,"Pandalus",12904,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Even_R2","1","MockCom","RepFish_Even","1",2,"Pandalus",9312,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Even_R3","1","MockCom","RepFish_Even","1",3,"Pandalus",11045,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Skew_1_R1","1","MockCom","RepFish_Skew_1","1",1,"Pandalus",10030,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_1_R2","1","MockCom","RepFish_Skew_1","1",2,"Pandalus",4812,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_1_R3","1","MockCom","RepFish_Skew_1","1",3,"Pandalus",8380,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_2_R1","1","MockCom","RepFish_Skew_2","1",1,"Pandalus",4902,3,"MockCom2","1_MockCom_3_1"
"MC_18S_RepFish_Skew_2_R2","1","MockCom","RepFish_Skew_2","1",2,"Pandalus",2509,3,"MockCom2","1_MockCom_3_1"
