featureid	final_taxonomy
3db5dc06ec3583b5a25796c61d1eeba4	Eukaryota;Chordata;Mammalia;Carnivora;Viverridae;Viverra;Viverra zibetha
f7e3adbeff07c41ffad9206ea68e8840	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
6138231af71912d4b87b138c83de7a19	Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius productus
40a670cca9d99fbfd0aa45608a1cdaa4	Eukaryota
70a1138682757872555195c15b9d284e	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima
68c667d1c0c8f8264dc012fef3d44916	Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Microgadus;Microgadus proximus
3d2b0ccb7cd3e14edd5aa7f16eaa6c97	Eukaryota;Chordata;Mammalia;Carnivora;Viverridae;Viverra;Viverra zibetha
1669346818028162f36325a76a44b651	Eukaryota;Chordata;Mammalia;Rodentia;Cricetidae
87543d8b4da29880b7091300f3c72618	Eukaryota
086c7e2e2de4106da172400808b482a6	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha
ce993b08e9b096e57b9d8a444b9ae9f6	Eukaryota
37a82feda1e062b695c41590816e8808	Eukaryota;Chordata;Actinopteri;Embiotocidae;Cymatogaster;Cymatogaster aggregata
54b9a417b15ad3299f2c6d329aa4f33d	Eukaryota;Chordata;Mammalia;Carnivora;Viverridae;Viverra;Viverra zibetha
299048dc7270729c57ca559454cfecc4	Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus
a9fd6fca151879171c192acacbfcbf5c	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Leptocottus;Leptocottus armatus
72ffcb0312c46341f15fb8ad24931647	Eukaryota
e62f8bbbad7b560e32581bf2308504d9	Eukaryota
bdb3b612fbe2f882b0522d3355f01756	Eukaryota
9627bb4781de362de245da19349a4207	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
ed3048646ed28d8abcc701635820f102	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Chitonotus;Chitonotus pugetensis
b994bc2b7c405dc3a6bbbac3ff81123d	Eukaryota
34cb4bc3b9b9a06fe60d6f922601a5ba	Eukaryota;Chordata;Actinopteri
9d9b96d5fdc94f4298795e89e4f8b3da	Eukaryota;Chordata;Actinopteri
944b755ad7032c64bb970299157ff057	Eukaryota;Chordata;Actinopteri
564014d89caf8ab0667c263bfeca005e	Eukaryota
3cd4557eed29f83930b9f257f9dc919d	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
80d53b1d90a9021f57d1d02bc47de110	Eukaryota
da59fa3417aa8e6d1f15c3ba44db6a9d	Eukaryota
82d197a201524ad70dba9581c6b0b2eb	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus kisutch
c7faf436f31da27dd590c43a8a0d1e94	Eukaryota;Chordata;Actinopteri;Osmeriformes;Osmeridae;Hypomesus;Hypomesus pretiosus
9b304ea1b8834d13f84ce7407a6daa35	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Lyopsetta;Lyopsetta exilis
2b3c407a697c06268918a55ce5616e71	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Hemilepidotus;Hemilepidotus hemilepidotus
c3b3844ac25bd6f7b608958a69f79919	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae
1c5474387e1ad3090f568ea1d58e9451	Eukaryota
e38aeb7c0494fe9e8c3ad33c1d6381c7	Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes
c4cdf06a3dd0680d07dad5b62123c720	Eukaryota
799c63a7021e3ed02c115df69900e363	Eukaryota
ad24b1a80caf14d385e92af72ec429b9	Eukaryota;Chordata;Actinopteri;Ophidiiformes;Bythitidae;Brosmophycis;Brosmophycis marginata
1589f0e3c34ec5d7913b3bb7130bd1a6	Eukaryota
c5aaf4109c6e11c42cf029cd262b8dbc	Eukaryota;Chordata;Actinopteri
8706afc2df6b6117de6891c13c67f957	Eukaryota;Chordata;Actinopteri
af9af5ca311be2e5c3868cde514094aa	Eukaryota
63568fd7454942fc224617c0dd9e6f33	Eukaryota
dd4773a290c8ec2be79b501b8e7298ca	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
ec51dc2076f82e9d47b827233f2f78d6	Eukaryota;Chordata;Actinopteri
aa74e24621dfbb345b0e188ca40b3ce8	Eukaryota;Chordata;Actinopteri;Perciformes;Hexagrammidae;Hexagrammos;Hexagrammos lagocephalus
4c3ab715d9adafed3d1b96217a62094b	Eukaryota
5541353d5863dcbfc2f9fc4e84aad114	Eukaryota
7ece826b631b4ded291644e7149f29fe	Eukaryota
ac11cb50238c8d4a6292ce569de14b7a	Eukaryota
bbd5102e911e9bbd735a475071cde3ed	Eukaryota
5e48a440f876a4209973eb2a807fd365	Eukaryota
8eb70d5d86e16f0b4f3d84a3a4be84a0	Eukaryota
10bbee64a5113560cb9921b76b774700	Eukaryota
7cac3fd6e6d382c1aba3ad0b7bf4b83f	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Artedius;Artedius fenestralis
84560bb9bb8794ff3c3894c5931a0a02	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Scorpaenichthys;Scorpaenichthys marmoratus
bf04fe9842297af1213851586206a458	Eukaryota;Chordata;Mammalia;Carnivora;Viverridae;Viverra;Viverra zibetha
e42cd4163088286356c1ddeea8465372	Eukaryota
b4b1c48560eeeb7bea79f9413394a877	Eukaryota
7390db21c953f438fb2b9b1b1a6f2494	Eukaryota
125836baced037eb270c584957e7746c	Eukaryota
99c39c5eb0b9566ffa4358101d3248d3	Eukaryota;Chordata;Actinopteri
31bf5b448ff44644087dc16f9c65132e	Eukaryota;Chordata;Actinopteri;Lophiiformes;Oneirodidae;Oneirodes
ff4ee179d18a5d95bfc7c139f8ea8740	Eukaryota
cd4398c3fc0633cb8f25055ed7290b64	Eukaryota
ab75d69e8919838f7f5c299feebbc6c9	Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes auriculatus
b189e417627d898b6e477d1df634f9d8	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta
12452c28a9a9204a2b37df38df3e2fcf	Eukaryota
e66471a8bce3bc9437f61dc7e45f1e3d	Eukaryota
af16ccd0b9fbc985e69638ca482e83f5	Eukaryota
7a37b6b44d22fe730dcff11189395b9b	Eukaryota
a1cdee708edae35ac2c39b174c6c7218	Eukaryota
c53498e3f595def22b7bbc902223667c	Eukaryota
f7b2e81954af89d4685fcd597fa12fd3	Eukaryota;Chordata;Actinopteri
733be4c2c969e91cc9f8b026f8474710	Eukaryota;Chordata;Actinopteri
78c7afcf36a59d4e9209212408454364	Eukaryota
69e22b0c513be416156648ef853cf26b	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
5c5f890ff5838655414ad7e402d2427a	Eukaryota
0a78a7db93e54c69b085a001c5a85eff	Eukaryota
ec489485fefa59eedb9454179c032f23	Eukaryota
f589ab5fae513377fd4d77f69958dfc3	Eukaryota;Chordata;Actinopteri
daf3630f622d4aa0a3d80cd2fc5ac668	Eukaryota
e774be552d1b8f434ada764026337fbd	Eukaryota
c17681e6713be5355c6ecb8107501d28	Eukaryota
4e5be117a4acf16bff3eaa27e1e8241f	Eukaryota
67fe0cd563152ce05e06f1a6267ada9f	Eukaryota
47d3761b3c08b8f25856dc6fc7f1ba77	Eukaryota
298ece5cdc35836dbdfa16893606d7e2	Eukaryota
5c4e8dee50bc8059989edb968a405ce3	Eukaryota
6d1aa6d8bb75e1ebad9b68333d1999d9	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus kisutch
5309355ab600987455f05d0a2f710d6a	Eukaryota;Chordata;Actinopteri
17c1c1a4e4589a977e3a74ded00b2741	Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes
36edbeacab6f280d0b76aba8ee994d9d	Eukaryota
07b4bb02eb64f3e691ece598ee845f88	Eukaryota;Chordata;Actinopteri
5c9b2711bf74af36305e1124de7b3835	Eukaryota
ef466303de25bc2bb698165161dc8f7d	Eukaryota
63b8fddc321282fb3e7cd41969984a74	Eukaryota
8c53ae849aaa1278ea2e931926d43ee2	Eukaryota
f0278d33fba5cd9a0c90608b90b4d801	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
050d5998237bf12446397969ca498531	Eukaryota
6b353c192c465cab91c03a80e60d6cd8	Eukaryota
e74d1270f19bd8b9bd07d8b515ecbcdb	Eukaryota
4bdde1b9c9143c5bbc037c1c914945d1	Eukaryota;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis ornata
de51b7d1e6579dd4c56230d6b383b45f	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
1c1f23ca1dd492ddd96d422755e6b7fb	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
02afebb71268594917fa69fbc6637889	Eukaryota;Chordata;Actinopteri
db28d4c51616f1113738b2aaf2559736	Eukaryota
3a00d064b91e1a36ff330b310934196c	Eukaryota
7979739a9a706bdd1b8bcd2b256c952a	Eukaryota
c955a9f47cab0881384e404589385274	Eukaryota;Chordata;Actinopteri
be9891d051f069b8488759851d8eac81	Eukaryota
2b48cef6d1aee312bf984176a5286778	Eukaryota;Chordata;Actinopteri;Embiotocidae;Phanerodon;Phanerodon vacca
8ef89acd01912a5f132e0bf08c1c221c	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
63f00e44db44501e036520033d67e050	Eukaryota
8d6cfe9977068a7365a8f7739d1d1888	Eukaryota;Chordata;Mammalia;Carnivora;Viverridae;Viverra;Viverra zibetha
a8272d9efa1c73f568c53ab45820d1b2	Eukaryota
8cc03c6019b94cbdc89f0f44f10ebb69	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
b265de1dcc5fec47014753775068b400	Eukaryota
aae86024e330523aa16c866639d73618	Eukaryota
9ccb35b65569257dc2ee1d5b9e5211ac	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
f64255a6fb7a61e5b532d08061b29b95	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus asper
b88062c233de4432e53e6ebfbfe05c44	Eukaryota;Chordata;Actinopteri;Perciformes;Liparidae;Liparis
858c5e0e62ebf386617de51f86d75525	Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius productus
aa32a7db49f1e40f3f51829555366a35	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
2df02d4373b31365cd5fb2ac65a71227	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Hippoglossoides;Hippoglossoides elassodon
5310ebeadd93727c7d2d4077b5ff9e80	Eukaryota;Chordata;Mammalia;Carnivora;Viverridae;Viverra;Viverra zibetha
0ef68a49c874775d9ba2b57fc745b33b	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
1baef29f9b07ca67473af78bc27b9f36	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
27a18ffcfe8689c8f1416eeb9da36f83	Eukaryota
0ea221de8cf2aa2eedc28365a9204a9d	Eukaryota
093cbb97253cb6ed3ff426ac2bcaa5cb	Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus
c8195fd6196747050dc650cacca1f1d4	Eukaryota
d6c9f8382d7cb32d961ecc4d2923a14a	Eukaryota
f63f1dbf324cfcaa0f8a73d9cec9bdfd	Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus
3e4f2b4c153e9e60ba1ef10508129b70	Eukaryota;Chordata;Actinopteri
5ff1e566a874e4491126a3dea8988374	Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Microgadus;Microgadus proximus
d896d24840b53652c7bbd4b113d3c007	Eukaryota;Chordata;Mammalia;Carnivora;Viverridae;Viverra;Viverra zibetha
7dbd63c3016d061fca34fba08b136964	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
60f0c6922439aae43be873f9ef76b77f	Eukaryota
07eebad65b819448b8171faf1f26a2bf	Eukaryota
9483ce1f842b2f7d88bcf9c5e064e30a	Eukaryota
563b979f5072a71d2e95524eed6d5955	Eukaryota
f9c9ddd53a2dd584cf8f1b279d93837c	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
cbfc19bb89ee980814fce06fdfc0285e	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
60a653edb3fc973fa664ac9392b24da8	Eukaryota
3c85314978da4e4cd3ff0cb1338d9d55	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
27e82a7024f36631d65367c63d1b8bda	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
75dbba73c73b148bae2bc4962e998d1c	Eukaryota
b0d703041303b65bb174ec566c831fe4	Eukaryota
4395f203a7603d249dfe5519cb93c906	Eukaryota
706d8958947816f025519c9909036b1f	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
273e82f823580e7e61ecd915aaaaab9b	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus
5cc483ecdd434119c2d18fc30ad809a5	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Lyopsetta;Lyopsetta exilis
c047f6b644785eac1033d9fc76c9b944	Eukaryota;Chordata;Actinopteri
34554fff5b737fe4a238c37478375ba4	Eukaryota
906a027e05847567f241360625e96543	Eukaryota;Chordata;Mammalia;Carnivora;Viverridae;Viverra;Viverra zibetha
fc5a43228d08841fd7c52d298b204b2c	Eukaryota;Chordata;Actinopteri;Perciformes;Liparidae;Liparis;Liparis fucensis
06539928751cd39e1ce6f150fe6ab62a	Eukaryota
2397344762982350e50a86a0c9893380	Eukaryota
b3eb66695ea120958a751424aa17f61f	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima
457a771cc748d65f770283480c791728	Eukaryota
7cfc29eaad01e5991c179740f0121934	Eukaryota
b57af23e7e0e24fdd6ba6f419a4913e6	Eukaryota
6bedbbda7b7e91a00fbbb832e90ce67e	Eukaryota
66e02c362022f0a4ce876daba97ea667	Eukaryota;Chordata
89eb77c3b82aad0efcddac5da2323145	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
7efff9a1404d10a91d61edd020df0624	Eukaryota;Chordata
