"featureid","final_taxonomy"
"b675a1c953ed242e1a171c47f6e5dc1e","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"17b49857ff58679eac8be1fea71d6c6d","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima"
"d4fb3dd240a291e36b180ab1a3f98cc3","Eukaryota;Ascomycota;Eurotiomycetes"
"064bc76bf438140e6319b75b7f60495d","Eukaryota;Chordata;Actinopteri"
"e5afd4ec87555063a4609532011ba78f","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"e6366f89f05bf5209f65ee628c233b34","Eukaryota"
"b703fedc75f17d331eac6baaafdf1429","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"957a55b4976fe1e83fc2fa6818c6f3c5","Eukaryota;Mollusca;Cephalopoda;Myopsida;Loliginidae;Doryteuthis"
"5aed00e5b2bfea51b600ece5420d73b4","Eukaryota;Chordata;Actinopteri"
"1507b4ebec55c6658df007c4447b7915","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"ec06fe33c614f01d22320c872aa566d3","Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Eupeodes;Eupeodes latifasciatus"
"046a31f716c0bbc54b520532e6120caf","Eukaryota;Arthropoda;Malacostraca;Decapoda;Callianassidae;Neotrypaea;Neotrypaea californiensis"
"b4ffaffb381a1320474aae4c3a1493d5","Eukaryota"
"d32e35f1c88ed68bddc8219293e5f05a","Eukaryota"
"7b48c6ab21414bb90610ea365d4e48bd","Eukaryota;Streptophyta"
"ab474b7093b9d657aa8713f8e6877900","Eukaryota;Chordata"
"1709835079a108f2bfe5b7d8ab3b527f","Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;NA;NA"
"82eabc02451083f485748813b0dda1f5","Eukaryota"
"831b7b883c0577b020eaf96fd261b677","Eukaryota;Arthropoda;Chilopoda;Scolopendromorpha;Scolopendridae;Otostigmus;Otostigmus spinicaudus"
"599a5b1cd206319e44b47364e9e1c9dc","Eukaryota"
"7e05a7ff9bfaf7a5c4acfac1864cd6cc","Eukaryota"
"fe2b699c1d9204d9b6fb531d8f587b9c","Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Gorgoderidae;Xystretrum;Xystretrum sp. DTJL-2000"
"9d60ed53260e341921057c18e04456f5","Eukaryota;Nematoda;Chromadorea;Strongylida;Pseudaliidae;Stenurus;Stenurus minor"
"1c13a23926caa93d7f4a555c59ebd5ed","Eukaryota;Chordata;Actinopteri"
"dd808a3daf74969d7ab23979455e129e","Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Gorgoderidae;Xystretrum;Xystretrum sp. DTJL-2000"
"30208c53d96bc6d2b412fdeca790b1fe","Eukaryota;Chordata;Actinopteri;Osmeriformes;Osmeridae;Hypomesus;NA"
"83fc45170a915790a09d66e49d3ef68c","Eukaryota;Chordata;Actinopteri"
"508d43ab745bb3f0f106a5cbf6b127cb","Eukaryota;Nematoda;Chromadorea;Rhabditida"
"6857fd0915fb42dafa2c1758ad2dad4a","Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Gorgoderidae;Xystretrum;Xystretrum sp. DTJL-2000"
"aa652ffa0a1757f681e0cc91c9fc020c","Eukaryota"
"869ab77c2f279d8e19b4686381943bb9","Eukaryota;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis gunnellus"
"618d29ee2156493b423f57928874dc1b","Eukaryota"
"867707650fb8104a09a4870bd698838d","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;NA"
"e856a82b610b0f31bb66c95f2e3bc4ef","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"f3cb866cb8c24f13a7dae3917c0b2c13","Eukaryota;Platyhelminthes"
"7b69c0879086c7621bbcfd76af0e4e1f","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"feaf080b779a08169a5e40573eb84058","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima"
"f03248cc5b91eba332aefa50246a3ff3","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"04a1524711a1a8ef660094f51c851b9a","Eukaryota;Ascomycota;Eurotiomycetes"
"27cd8b2f14dc90a4d2f8b4b028974489","Eukaryota;Arthropoda;Malacostraca;Decapoda;Callianassidae;Neotrypaea;Neotrypaea californiensis"
"ee3be20d3c1bde7316d720c67479ce68","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"63a231a81c8b56c1774167bd1b00adb9","Eukaryota"
